Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
0.01,0.999944,0.999640
0.02,0.999889,0.999832
0.03,0.999833,0.999801
0.04,0.999778,0.999817
0.05,0.999722,0.999594
0.06,0.999667,0.999570
0.07,0.999611,0.999588
0.08,0.999556,0.999515
0.09,0.999500,0.999398
0.10,0.999444,0.999284
0.11,0.999389,0.999210
0.12,0.999333,0.999130
0.13,0.999278,0.999082
0.14,0.999222,0.999130
0.15,0.999167,0.999030
0.16,0.999111,0.999007
0.17,0.999056,0.998941
0.18,0.999000,0.998838
0.19,0.998944,0.998821
0.20,0.998889,0.998772
0.21,0.998833,0.998765
0.22,0.998778,0.998742
0.23,0.998722,0.998718
0.24,0.998667,0.998689
0.25,0.998611,0.998684
0.26,0.998556,0.998587
0.27,0.998500,0.998489
0.28,0.998444,0.998496
0.29,0.998389,0.998466
0.30,0.998333,0.998344
0.31,0.998278,0.998282
0.32,0.998222,0.998202
0.33,0.998167,0.998108
0.34,0.998111,0.998039
0.35,0.998056,0.997951
0.36,0.998000,0.997982
0.37,0.997944,0.997876
0.38,0.997889,0.997802
0.39,0.997833,0.997751
0.40,0.997778,0.997698
0.41,0.997722,0.997663
0.42,0.997667,0.997536
0.43,0.997611,0.997506
0.44,0.997556,0.997356
0.45,0.997500,0.997369
0.46,0.997444,0.997331
0.47,0.997389,0.997273
0.48,0.997333,0.997247
0.49,0.997278,0.997145
0.50,0.997222,0.997077
0.51,0.997167,0.997034
0.52,0.997111,0.996984
0.53,0.997056,0.996933
0.54,0.997000,0.996981
0.55,0.996944,0.996925
0.56,0.996889,0.996801
0.57,0.996833,0.996782
0.58,0.996778,0.996782
0.59,0.996722,0.996792
0.60,0.996667,0.996713
0.61,0.996611,0.996687
0.62,0.996556,0.996636
0.63,0.996500,0.996674
0.64,0.996444,0.996543
0.65,0.996389,0.996451
0.66,0.996333,0.996414
0.67,0.996278,0.996413
0.68,0.996222,0.996343
0.69,0.996167,0.996300
0.70,0.996111,0.996204
0.71,0.996056,0.996184
0.72,0.996000,0.996128
0.73,0.995944,0.996092
0.74,0.995889,0.996075
0.75,0.995833,0.995929
0.76,0.995778,0.995995
0.77,0.995722,0.995964
0.78,0.995667,0.995873
0.79,0.995611,0.995904
0.80,0.995556,0.995737
0.81,0.995500,0.995565
0.82,0.995444,0.995491
0.83,0.995389,0.995502
0.84,0.995333,0.995391
0.85,0.995278,0.995342
0.86,0.995222,0.995334
0.87,0.995167,0.995286
0.88,0.995111,0.995303
0.89,0.995056,0.995271
0.90,0.995000,0.995167
0.91,0.994944,0.995119
0.92,0.994889,0.995089
0.93,0.994833,0.995104
0.94,0.994778,0.995212
0.95,0.994722,0.995048
0.96,0.994667,0.995023
0.97,0.994611,0.994872
0.98,0.994556,0.994740
0.99,0.994500,0.994594
1.00,0.994444,0.994609
1.01,0.994389,0.994645
1.02,0.994333,0.994629
1.03,0.994278,0.994590
1.04,0.994222,0.994589
1.05,0.994167,0.994683
1.06,0.994111,0.994631
1.07,0.994056,0.994436
1.08,0.994000,0.994324
1.09,0.993944,0.994245
1.10,0.993889,0.994162
1.11,0.993833,0.994122
1.12,0.993778,0.994234
1.13,0.993722,0.994196
1.14,0.993667,0.994155
1.15,0.993611,0.994000
1.16,0.993556,0.994026
1.17,0.993500,0.994161
1.18,0.993444,0.994216
1.19,0.993389,0.993975
1.20,0.993333,0.994073
1.21,0.993278,0.994105
1.22,0.993222,0.993952
1.23,0.993167,0.993809
1.24,0.993111,0.993713
1.25,0.993056,0.993610
1.26,0.993000,0.993513
1.27,0.992944,0.993480
1.28,0.992889,0.993429
1.29,0.992833,0.993207
1.30,0.992778,0.993012
1.31,0.992722,0.992951
1.32,0.992667,0.992877
1.33,0.992611,0.992700
1.34,0.992556,0.992691
1.35,0.992500,0.992595
1.36,0.992444,0.992390
1.37,0.992389,0.992225
1.38,0.992333,0.992353
1.39,0.992278,0.992169
1.40,0.992222,0.992124
1.41,0.992167,0.992042
1.42,0.992111,0.992146
1.43,0.992056,0.992061
1.44,0.992000,0.992054
1.45,0.991944,0.992235
1.46,0.991889,0.992006
1.47,0.991833,0.992068
1.48,0.991778,0.991881
1.49,0.991722,0.991817
1.50,0.991667,0.991718
1.51,0.991611,0.991601
1.52,0.991556,0.991545
1.53,0.991500,0.991330
1.54,0.991444,0.991458
1.55,0.991389,0.991461
1.56,0.991333,0.991377
